Feature,Importance
agent,16.508510751417422
arrival_date_month,11.100899115587374
total_stay,10.533321963557976
deposit_type,7.716020539872669
country,7.299464369479829
market_segment,6.359484554308584
arrival_season,5.238361414674928
stays_in_week_nights,4.512941534515956
customer_type,3.995215326072567
meal,3.8485168425417107
total_of_special_requests,3.8219576849648713
previous_cancellations,3.4669687276549945
stays_in_weekend_nights,3.41621383704014
reserved_room_type,3.315216469051747
adults,2.5732183397938044
hotel,1.8630531757863165
booking_changes,1.6635769591443175
distribution_channel,1.3292690010585642
children,0.6333326841176753
required_car_parking_spaces,0.4856984048349491
babies,0.24093213921745138
previous_bookings_not_canceled,0.07782616530609958
