Feature,SHAP_Importance
agent,15.05972712409339
arrival_date_month,12.123143010924627
deposit_type,11.093079283808095
total_stay,9.035782763992406
market_segment,8.722328738094037
country,7.5804787787489305
customer_type,5.781617375001655
arrival_season,5.176171379930687
stays_in_week_nights,4.241095518508135
previous_cancellations,4.005102482468973
meal,3.7717764539025374
reserved_room_type,3.5520760656101986
total_of_special_requests,3.236729924564665
adults,2.890975221222456
hotel,2.4634222171065083
stays_in_weekend_nights,2.2215023980405224
booking_changes,1.910798668444637
distribution_channel,1.5102940566994165
required_car_parking_spaces,0.7607856223636748
children,0.721271916205987
babies,0.10054134511342264
previous_bookings_not_canceled,0.09569783739702044
